tag	consumer_complaint_narrative
complaint	建物が古いので、エレベーターが遅いのが、少々じれったかった
complaint	カードキーの説明やエレベーターの場所などの細かい説明が全くなかった
complaint	部屋が狭い
comment	フロントスタッフの方たちの対応が非常に良かった
comment	さすがヒルトン、とてもきれいです
comment	プールが清潔で、景色もきれい
comment	滞在中いかに快適に過ごすかを一緒に考えてくれるスタッフの方
comment	特に無し
comment	ロケーションはバッチリで、東京へ初めて訪問する外国人には理想的
comment	ホテルの方は親切です
comment	4人部屋だったが、十分な広さ
complaint	シャンプーが泡立たない
comment	女子4人で宿泊しました
complaint	が、まったく改善されていません
comment	朝食（和食）を選んだがとても美味しかった
comment	朝食は最高でした
comment	スタッフの対応は親しみやすく丁寧でした
comment	家族で行く時は、他のホテルを利用していたのでようやく念願叶いました
comment	ツアーデスクは非常に親切丁寧でした
comment	広くて快適なお部屋やプール
bug	アプリ自体わそんなに悪くないけど電話番号登録みたいなのがなぜかずっと出来ません
comment	沖縄8回目の家族旅行で妻の両親と一緒に来ました
complaint	動画投稿がよくスムーズにいかん😤 ストーリーでも普通に投稿するだけでも‼️電池もったいないし
comment	特にないです
bug	4k30pでアップした動画も以前は1440で見られたのに、今は1081が限界です
comment	清潔で良かった
comment	落ち着く空間作りが、良かったです
comment	食事つきにしていただけると、ありがたいです
request	あと、タイムラインで他の人がお気に入りの記事を表示しないように設定できるようにしたい
comment	ホテルで配置されている物の質が良くて、しかも自分でも使っている物もあり、気楽でした
request	子供が顔を洗ったりするのに、踏み台があったらいうことなかった
comment	食事がとても美味しいです
comment	適度な広さでくつろぐことができました．
request	布団の補充が欲しかった
comment	チェックアウトがゆっくりで朝の時間を快適に過ごせたこと
complaint	結局はあれやこれやで「商売」してるし何かの形で搾取されてる
comment	接客対応、景色、ジム、プール国会議事堂、首相官邸を上から見れる機会はなかなかないと思います
bug	何故か複数枚[董璜]の中の1枚にだけいいねが来る
complaint	部屋までの廊下が狭い、リニューアルした部屋以外は若干古め
comment	バランスも良くて、ちょうど良い量でした
comment	建物の外観内装のデザイン、サービスが気に入っており、以前からこちらのホテルを利用しています
complaint	困っています( ´•ω•` )
comment	お風呂とトイレを別にしたので仕方ないが手洗いが部屋に直結していて不思議な感じでした
undetermined	換気
complaint	腹立つわ、超バッグてる
comment	余計な心配をさせません
comment	チェクインまで、荷物を預かってくれて、チェックアウトした後も、荷物を、預かってくれたのは、とても助かりました
comment	コンサートのために会場徒歩圏内という条件で選びました
undetermined	部屋の広さ
undetermined	なし
complaint	そこだけが面倒くさいなと思います
complaint	他人のタイムラインのシェア、いい加減にしてほしい
comment	立地がとてもよく部屋もきれいでした
comment	部屋の中に内扉があり、音が遮断され大変静かです
comment	ないです
comment	部屋の横で工事してました
comment	大浴場があること
complaint	テーブルが狭くて使いにくい
comment	それとも直さなくても構わないと言っているのか
complaint	駅から分かりにくい
comment	清潔で気持ちがいい大浴場がいい
complaint	また、空調などに不満が残りました
comment	駅に近かった
complaint	とても残念です
complaint	少々、体臭の様な匂いが残っていた
comment	接客は良かった
comment	私たち夫婦と子ども二人、孫（幼児）二人で、２月２４日（金）から２泊４日で沖縄に行きました
request	バスタブがあるといいですね
complaint	表通りから少し入りこみ、入口が分かりにくかった
comment	窓からの景観が素晴らしい、の一言に尽きる
comment	[Snow]より自然に盛れていまでも使ってます
comment	便利に使わせていただいてますが、最近タイムラインがLINEの記事に占拠されていて使えない
complaint	便利に使わせていただいてますが、最近タイムラインがLINEの記事に占拠されていて使えない
complaint	ロビーで簡単な洋食を食べるのは悲しい
complaint	残念です…
undetermined	ははっ
complaint	元々普通のマンションだったものをホテルへ改装したようでフロントへ行くのも外の風を浴びます
complaint	結果、登録の名前の読み方が違うせいでわからなかったと言われたが、そんな読み仮名の登録はしていないので、おそらくホテル側のミスだと思う
comment	結果、登録の名前の読み方が違うせいでわからなかったと言われたが、そんな読み仮名の登録はしていないので、おそらくホテル側のミスだと思う
complaint	トラブル時の情報がわかりづらいが、とりあえず使えます
comment	トラブル時の情報がわかりづらいが、とりあえず使えます
comment	チェックインクラークが外国の方でしたが、綺麗な日本語で対応して下さったので、感心しました
complaint	上の階からか、ものすごく音がうるさい
comment	期待と不安と、それでも安心感があるので利用しました
comment	申し分ないです
bug	何回やってもMy Softbankの認証ページまでは行けるものの、いざ認証バナーを押すと二重エラーが出て終われない
complaint	友達が何をいいねしたとか、そのまた友達が何をいいねしたとか、全く興味ありません
comment	歩いて、いろいろな名所に行けたこと
complaint	アップデートする度に改悪されている
complaint	子ども用のパジャマも無かった
complaint	大浴場が有料なのには少し驚き
comment	ダブルベットが小さい
comment	部屋は清潔でコヒーマシンなど飲み物も充実していて、スーペリアルームでこの価格はとてもお得感がありました
complaint	京都タワーを望めるのに椅子が部屋側に向いていてカーテンも閉まっていて気がついたのが朝になってからだったので、何かメッセージでもあると夜景も楽しめたので少し残念
comment	ホテルのハードはシックな印象
comment	展望が本当によかったね
comment	スタッフも丁寧で、親切だった
complaint	自宅タブレットとの連絡ツールとして使いたかったが、認証の関係で自分とトークになるため、チャットが使えなかった
comment	自宅タブレットとの連絡ツールとして使いたかったが、認証の関係で自分とトークになるため、チャットが使えなかった
complaint	初期の頃はよかった
comment	特になし
comment	いつも心地よく利用させていただいています
comment	まあ、 ソフトの出来とは無関係ですが
comment	朝ヨガとかも体験しましたのでおすすめです
comment	ベッドもエキストララージベッドで２人で贅沢でした
comment	ラインには、不安が有り Viber利用今の所問題無し
complaint	春や秋は柔軟に対応してほしいです
complaint	夜繁華街の声が響いた
comment	ロケーションも寺町という風情豊かなところでなかなか
bug	編集で付けようとしても、どうしてもその人のだけ消えてしまう
comment	編集で付けようとしても、どうしてもその人のだけ消えてしまう
comment	室内は掃除が行き届いていて清潔感があり、居心地がよかったです
comment	従業員の方が、とても親切でした
comment	ロケーションも駅前で最高
complaint	スタンプ買うってなったら、現金に なってんじゃん
comment	コーヒーを素敵な雰囲気で味わえました
comment	ま、他はいいから☆4にしたけど
complaint	もう少し安かったらもっといいです
request	ベッド付近にコンセントがあればなお良かったと思います
complaint	隣がパチンコ店だった
complaint	部屋に加湿器があったが、水がきれていた
comment	アメニティが充実
complaint	本当にいい加減にしてください
comment	車で行ったので、出し入れしやすい駐車場と周辺道路
comment	清潔でした
comment	ラインのやり取りだけは天才
comment	バス停が近い
undetermined	対応
complaint	エアコンが苦手なので、就寝時は消したいが、消すと寒い
complaint	こんな事したらクライアントの信用にも傷つきますよ
comment	軽くてなかなか良いと思います
complaint	エレベーターから部屋までの距離がちょっと長い
complaint	下のカテゴリーのお部屋だと景色はありません
complaint	立地があまり良くなく、アメニティーが不十分で、部屋が大きくさから考えると、料金が高い様に感じました
comment	ベッドが大きめで良かった
comment	外観からしてもうすでにおしゃれな感じも伝わって来て館内もとても素敵でした
complaint	洗面台が狭く使いづらい
complaint	お茶のティーパックが美味しく無かった
complaint	画面が止まり音声だけが流れる不具合はいつになったら修正されるのか
comment	コンドミニアムに宿泊しました
comment	撮るのは、めっちゃ楽しいけど、ギャラリーに保存されない
bug	撮るのは、めっちゃ楽しいけど、ギャラリーに保存されない
complaint	返金してもらおうか考え中です
comment	ベッドが心地よくよく眠れました
complaint	カフェに比べて部屋が普通すぎて残念だった
comment	室内は広くすっきりしているが、個人的にはモノトーンより温かみのあるベージュ系の方が、好きだから
complaint	お風呂は、清潔感があり良いのですが露天風呂とか、作りを変えた方が印象に残ります
comment	お風呂は、清潔感があり良いのですが露天風呂とか、作りを変えた方が印象に残ります
comment	コンシェルジュの手厚いサポートがあった
comment	部屋もとてもキレイで、離島ターミナルにもまぁまぁ近い
comment	部屋はコンパクトで清潔感あり
comment	特にありません
comment	ビジネスホテルとしては広い
comment	又、ロケーションも良い
bug	また、自分の動画が最新から31件までしか表示されなくなりました
complaint	窓側らの景色は悪いです
comment	以前に宿泊したときは、部屋をグレードアップしてもらい、海側の部屋でしたが、海側の部屋が本当におすすめです
comment	アメニティの充実、バスルームの枕まである心配り
request	アメニティーにブラシがなかったのであったら完璧でした
complaint	水栓が２つなので手洗いとシャワーを切り替えるのが不便なのと、少し水勢が足りないのが残念かな
complaint	ベッドの下やキャビネットの下もゴミが沢山有り、掃除をして居る様子が無い
comment	檜のお風呂が気持ちよかったです
comment	部屋になんでも置いてあるわけではありませんが追加の枕や綿棒、絆創膏はフロントに言うともらえます
undetermined	Xperiaコンパクトです
comment	娘と3人で行きました
complaint	入浴中は他の人がトイレを使えない等
comment	バス、トイレとのセパレートと浴槽の広さが良い
request	チェックインの時間がもう少し早かったらいいなと思った
complaint	部屋も絨毯なので、部屋に入るとムワッとする臭いが気になった
comment	不要な物をカットしてリーズナブルにしている所もいい
comment	相手がLINEのスタンプがいいと言うので仕方なくですが
comment	ゆいレールも近いので、那覇周辺で遊ぶには使いやすいと思います
comment	普通に問題なく話せます
comment	近くに大型スーパーもあるので長期滞在にも便利でビジネスユースにもおすすめです
complaint	国際通りも結構長いので、公設市場に行くには少しだけ歩きますが…お店を見ながら歩くにはいいかと思います
comment	国際通りも結構長いので、公設市場に行くには少しだけ歩きますが…お店を見ながら歩くにはいいかと思います
bug	少し前から、自分のアップロードした動画の古いものが表示出来なくなった
comment	那覇空港に近い立地の良さといい次回はグレードアップして広めの部屋に宿泊したいと思いました
comment	さすがヒルトン系のホテル
complaint	購買の閉店時間が早かった
complaint	キーカードの色分けとか、ちゃんと館内の説明がなかった
request	通話履歴が必要な人もいると思うのでどこかで確認出来るようにして頂けるとよりいいと思います
comment	熱を出した息子に対して、冷えピタや氷枕まで提供いただき大変ありがたかったです
comment	お部屋のお代をカードキーのケースに書いていただきましたが、分かりやすい一方、連れに値段が分かってしまってちょっと困りました
complaint	お部屋のお代をカードキーのケースに書いていただきましたが、分かりやすい一方、連れに値段が分かってしまってちょっと困りました
comment	他の人のは見れる
complaint	猥褻、転載等の動画を推奨するのはいい加減止めろよ
comment	ドライヤーや備品も新しいものが多く良かったです
comment	ロビー階のケーキは美味しかったです
complaint	駅から若干上り坂スーツケースが重いと大変かも
request	ビジネスホテルとはわかっているが、もう少しスペースが欲しい
bug	また、送料が本来かかるはずなのに、商品画面を見るとfreeになっていたり、一覧画面で表示される送料が異なったりします
comment	バス・トイレも清潔感があります
complaint	booking.comの地図アプリの使いでがイマイチだった、
complaint	ロビーに居るスタッフに笑顔なく、ホテルに入るとき挨拶もなくジロジロと見られるのが不快だった
comment	清潔で使い易いバスルーム
complaint	広告自体はいいですけど、再生の最中に入るのが邪魔なんですよ
comment	2011年以降にオープンしたホテルから選びました
comment	特に水回り、とてもおしゃれ
comment	お部屋もきれいで快適な旅の宿を堪能出来ました
comment	空港からのアクセスが良く、旭橋駅出口ほぼ目の前で、国際通りまでも16分くらい歩く距離に位置しており、まあまあ便利な立地にあります
comment	近くにはあらゆるタイプの日本的な飲食店が並び、外国からゲストをもてなす使命があった私にとって、とても便利でした
comment	大浴場も夜も2回朝も3回入りましたがタイミングよく貸切状態でラッキーでした
comment	それから、 たまに既読付かなくなったりするし グループに誰かが参加すると必ず 携帯が鳴る
comment	使いやすい
comment	駅に近くて飲食店が多くてよかつた
complaint	Wi-Fiも正常で通信環境も悪くないんですけど、これがもしバグならば早急に対処してほしいです
comment	以前より朝食の評判を聞いていたので、泊まりたかったホテルでした
comment	スタッフも感じが良い
comment	観光の拠点として便利
comment	お部屋をグレードアップしてもらえました
comment	セキュリティーやラウンジの設置が良かったと思います
comment	スタッフは親切で、廊下なども清潔感があった
comment	朝食バイキング以外のアメリカンブレックファーストがよかった(v^-ﾟ)
complaint	朝の喫茶が、平日はないとのこと……残念
comment	通話音声が安定しています
comment	清潔感があって良かった
bug	送信出来ない
comment	お部屋は申し分のない設備で、浴槽は大きく（扉はガラス張り）、リビングもベランダも広く、洗濯機や掃除機もありました
complaint	もう少し部屋が大きかったらよかったのにと思いました
comment	到着日に利用しました
complaint	バスルームが異常に臭かった
comment	バスとトイレが分かれているのが良かった
complaint	非表示対応してください
complaint	ポーチなどを置くスペースが欲しい
complaint	枕が私には合わなかった
complaint	そもそも部屋代が支払い済みであることが伝わっていなかったのも問題だし、部屋番号を記載したカードに請求額を書いて渡すというのも場末のビジネスホテル以外では初めて見た
complaint	問題報告に対する回答が遅い
comment	１週間の訪沖で、こちらには5日滞在
complaint	考えてよ
undetermined	チャンネルとかあるので
complaint	当たり前のような気がしますが、意外と応えてくれないホテルの方が多いですよね
complaint	友人のタイムラインが流れてしまって、常に上の方にLINEのレシピやらなんやらがあってタイムラインの意味をなしてない
comment	朝食は評判通り美味しかった
bug	1080p60fpsの動画が720p61fps以下の画質でしか再生されません
complaint	友達同士の楽しいやりとりを、LINE関連の投稿が邪魔をする
complaint	家族を招待し、あらかじめ前払いで料金を支払っておいたのに、チェックインの際家族に部屋代の総額を記載したカードを宿泊者に渡していた
complaint	もう少し部屋が広いと良かった
comment	朝食も美味しく品数も良い
request	時系列に並んでほしい
comment	他は文句は無いので☆5
complaint	無駄な機能増やしすぎ
comment	いいね、いい
bug	そもそも、登録すらできない
complaint	そもそも、登録すらできない
comment	立地がとても良かったです♪
comment	居心地の良いお部屋
complaint	テレビの向きを変えらればと思った
comment	バスルームの仕様とベッドの寝心地も素晴らしい
undetermined	バグなのか仕様なのか分からない
complaint	バスの排水が悪い
complaint	SHISEIDOが同じビルにありながら、シャンプー、リンス 、ボディソープだけがSHISEIDOでだったのは寂しい
comment	いつも利用させていただいています
complaint	朝食で「食器が足りない」という理由でご飯をお皿で、味噌汁をカップで飲食させるのは如何なものかと思います
complaint	駅近なので電車の音が少々うるさかったです
comment	部屋は静かで 周りを気にせずに過ごす事ができました
comment	当日は笑顔で見送ってくれて嬉しかったです
comment	疲れた体を温泉で癒せるので、何度か利用していますがオススメです
complaint	バイキングの種類が急に少なくなった
comment	部屋は綺麗で、不満も全く有りません
undetermined	ベッドの硬さ
complaint	ガラスによごれが付着していた
comment	携帯が悪いのであれば、アンインストールしますが
comment	ベッドも寝心地最高でした
comment	レストランの冊子が一、二月のものだった
comment	スタッフの対応が感じよかった水を毎日2本いただけた
comment	バス・トイレ・洗面所が独立していて、高級感のある設備でした
undetermined	ありません
comment	今回赤ちゃん連れでの初めての旅行でヒヤヒヤでしたが、色々な場面でスタッフの皆さんがサポートしてくださり、とても親切に温かく接してくださり、非日常的な素敵な景色に囲まれてリフレッシュすることがでしました
complaint	気持ち悪い広告は、表示しないでください
request	気持ち悪い広告は、表示しないでください
comment	国際通りの県庁側にある大変立地の良いホテルです
comment	どのスタッフの方々もとてもフレンドリーでそれぞれのお仕事を丁寧にされていらっしゃるように見受けられました
complaint	見つけしだい片っ端から迷惑行為として通報させていただいてます…せっかく収まったのにまたうるさいから通報再開です
comment	朝食が豊富
comment	とにかく清潔
complaint	ホテル側は悪くないと言っているように聞こえた
comment	フロント男性はみなさんとても感じが良かった
request	ホテルレストランの時間を26時くらいまでやってくれるとうれしいかも
bug	4/28 相変わらず、たったひとりの人だけタグ付け出来ません
request	バスソルトがあればうれしいです
comment	部屋から富士山が見えて最高だった
comment	近くに美味しいお店がたくさんある
complaint	喫煙室が臭すぎる
comment	特になし
comment	それとも、特定の人からタグ付けされるのを拒否設定出来るようになったのですか
complaint	パブリックスペースの余裕、細かい演出などなど、同程度の金額、もしくは少しの金額をプラスして宿泊できる他のラグジュアリーと言われる外資系ホテルとは大きな差があった
complaint	｢このアカウントを全て非表示にする｣を選んでも、しばらくたつとまた入ってくるし、何をどうバージョン｢アップ｣してるのだろうか
complaint	交通の便が不便
comment	露天風呂付きの客室に宿泊しました
comment	ニューヨークやラスベガスなどは無料でした
comment	予約した写真と違っていた気がした前日に大阪の別ホテルに泊まり対応が素晴らしかった為
bug	通知が来ません
complaint	最近エラーとかも多くてほんとやだ
comment	アメニティーもロクシタンで高級感があり、特別なお泊りになりました
request	せめて23時まで開いてるとディナーの後にゆっくり使いやすいと思いました
complaint	少し戸惑う
comment	また利用したいです
request	書いてある期日が過ぎたらメールで連絡するとかして欲しいです
request	前のようなシンプルな機能に戻して欲しいです
bug	動いたかと思ったら、いっこうに読み込み画面から進みません
comment	トイレとお風呂が別々、さらにお風呂にきちんと洗い場があることは、皆さんのクチコミの通り、快適でした
complaint	若干、スキー場へ行きにくい
request	入浴剤もあったら良かった
comment	特になし
comment	コーヒーが美味しかった
comment	ベッドも広くて、ベランダ付で住める感覚の最高の部屋でした
comment	ありがとうございました
complaint	フロントの一人の女性の方の対応非常に悪かった
comment	スタッフの方が臨機応変に対応してくれて気持ちが良かった
complaint	他人のいいねした投稿は正直無くてもいいし、鬱陶しいです
request	〇〇既読　〇〇既読　〇〇配信済み　というようにしてくれれば有り難いです
comment	今後投稿する写真も、プロフィール欄に写真表示させるために、なるべく自分以外の名前タグは付けずにやります
request	お掃除にはいった時に給水してくれるか、加湿器に給水の仕方を貼っておいて欲しかったです、
comment	お部屋の落ち着いた雰囲気と清潔さ
comment	洗濯もできますが100円玉と51円玉が必要になります
bug	ノイズだらけ通話出来ない
request	ステッカーの使用履歴が欲しいが、他はLINEより使い勝手が良い
comment	ステッカーの使用履歴が欲しいが、他はLINEより使い勝手が良い
comment	トイレと浴室が別になっていて快適です
complaint	悲しい…
comment	また絶対利用したいホテルです
complaint	遮蔽効果は貧しい、貧しい人々 の防音聞こえる
complaint	立地的に繁華街のど真ん中ですので、騒音が気になる人には気になるかも
complaint	みんな使ってるのに私だけ 仲間はずれみたいじゃん
request	Android4.4.4でも使いたいです
complaint	はやく改善してください
comment	３杯目は男性定員のいない時に注文した（女性スタッフは皆笑顔でよかったです）
complaint	意味わかんないです
comment	洗濯・乾燥機が付いているので長期滞在も快適です
complaint	画質わるすぎて、見てて勘弁してよって思う
request	あと、「興味がない」と設定しても、なぜか似たような動画やチャンネルをおすすめされるので、強めにブロックする機能があるとありがたいです
comment	東西南北、どこに出かけるにも便利です
bug	固定電話に無料で掛けれなくなり、スマホは機種にもよりますが通話ができません
comment	笑顔のフロントデスクの方も好印象でした
bug	ユーザー名の確認画面から進まない
comment	3泊させていただきました
comment	部屋が新しくセンスの良い作りだった
comment	朝食時、レストランが混んでいた
comment	今のところは無料通話メインで使ってます
comment	売る事が簡単にできるともっと良いと思います
comment	やはり一番は価格
comment	買い物、飲食店があり困らなかった
complaint	ラウンジの軽食タイムが夜８時までらしく、もう少し遅くまでやって欲しいです
request	ラウンジの軽食タイムが夜８時までらしく、もう少し遅くまでやって欲しいです
complaint	離島ターミナルからは思ったより距離があり、徒歩だと16分弱かかり、翌朝はタクシーを利用しました
comment	とても便利で無料スタンプも飽きません
comment	またセキュリティもしっかりしていて安心して過ごせました
complaint	Wifiの接続速度が遅く、不便だった
comment	清潔感、スタッフの対応が良かった
comment	すっきりしたデザインのきれいな部屋
comment	コンビニに隣接している
complaint	読みづらい文章に仕上がって残念です
comment	スタッフの対応がとても良かった❗　施設の清潔さです
comment	全てにおいて 良かったです
comment	お部屋の内装がヨーロッパ調でとてもステキでした
complaint	予約時のスタッフの方の話とお部屋が違った
comment	スタッフの方の対応とても良く、気持ちよく過ごせました
complaint	1911号室の窓の上あたりから、ミシミシという音がずっとなり続けていて、私も主人も眠れませんでした
complaint	トプ画も、ひとことも、ひっそり変えたいのに…赤ちょぼだけのがマシだった
complaint	しかし、キャンペーンが終わってしまい無料通話ができなくなり残念です
comment	みなさん、親切でフロントの玉城さんお勧めのHAPPYでは、地元客が多くめっちゃ美味しかった
comment	食事も美味しかった
complaint	基本的にユーザー側に選択権がない
comment	ベッドが広い
comment	スタッフの方の対応が良かった
comment	喫煙者の私には最近のホテルも禁煙部屋が多くなり選ぶのも一苦労です
complaint	河原町からも徒歩だとちょっとしんどいと思います
comment	清潔感がありとても良かった
complaint	部屋が狭い
complaint	朝食がもうすこし美味しかったらなぁ…
comment	お部屋や朝食は文句なしです
undetermined	桜開花情報
comment	私はですが(笑)
complaint	二人で滞在するには、狭かったです
request	お気に入りのカテゴリーのショートカットが作れるといいな
comment	チェックイン前にドキッとさせられました
request	駐車場の高さ制限があり、私の車ではサイズアウトでしたが、近隣コインパーキング使用の割引制度があれば嬉しかったです
complaint	アップデート後 中華フォントになるし、設定は日本語化されてないし
complaint	聞き入れてもらえるとは思ってませんが、ダメ元で言わせてください
comment	ちなみにタグを付ける相手は著名人で、手動でタグ付けをしている様子はありません
comment	大通りに面しているので、夜、車の音やライトなどが気になる方には不向きかもしれません
complaint	再度利用しようとは思わない
comment	次も行きたいと思わせてくれました
comment	手は一応雑巾みたいなものを持っていて、掃除をしているふりでしたが・・・
comment	朝食も美味しく頂きました(^^)nまた機会があれば利用したいと思います♪
comment	部屋は清潔でしたがこじんまりしており、綺麗なビジネスホテルという印象です
complaint	どうゆう事
bug	友だちの投稿も最新のじゃないやつが出てる
comment	隣に進々堂があるので、朝食が付いてなくても無問題
complaint	ケータリングを使われているかと思いますが、余裕をもって手配されることをお勧めします
complaint	カーテンを閉めるとせっかくの景色が見えなくて残念です
comment	コンビニが館内にオープンしたので夜食の買い出しなどに便利
comment	空港、観光スッポットなどへのアクセスが便利でした
request	ニュースはタイムラインの一番上に短く載せて頂けると良いのではないでしょうか
comment	値段が手頃なのにあれだけ広い部屋に宿泊できるのは最高だと思います
complaint	利用者が多いとこうも傍若無人に振る舞えるのか
comment	加湿器なども常備されていた
complaint	2~3日かかることがあるって書いておきながら6日経っても回答が来ない
complaint	バグってんのかと思うほどだわ
comment	丸ノ内線新宿御苑駅からすぐで便利でした
comment	その他は満足できるホテルなので、お勧めです
complaint	ハンガーも少なく、クローゼットもない
complaint	そのせいか、部屋がホコリっぽい感じがしました
comment	石垣島の中心にあるホテル
comment	特になし
complaint	部屋の入り口のハンガーとベッドの間にTVがあるのですが、それを固定する板の角が尖っていて、ハンガーから落ちた服を拾って起き上がった時に板の角に頭をぶつけて出血する怪我をしました
comment	ベッドがふかふかで気持ちよかった
comment	ゆいレールの駅や国際通りから近く、とても便利でした
comment	まだ出来て三年目のホテルです
comment	特になし
complaint	外国人が多くうるさかった
complaint	失望した
bug	電話も、仕方ない点もありますがラグがひどくてまともに電話出来ないこともあります
complaint	電話も、仕方ない点もありますがラグがひどくてまともに電話出来ないこともあります
comment	ロケーションがとても良かった
comment	特になし
comment	特に、バスルームが日本式でゆったりできました
comment	部屋も余裕のあるつくりで、ゆったり出来ました
comment	広々とした部屋や、またコンビニのカフェやラウンジのレストランも夜まで気分転換になり、息詰まることなくリラックスして臨むことが出来ました
complaint	洋楽和訳動画が上位に来て迷惑
comment	タオルの質が大変良かった
comment	全体的に良かったです
complaint	食事にもう少しバリエーションが欲しい
comment	奥様の癒しと義姉の散骨の旅行です
comment	お風呂とベットが最高でした
comment	２ベッドルームで７６㎡の部屋は十分な広さだ
request	せめて非表示にさせて
complaint	ソファー、テレビの位置が、見にくい
complaint	メンテナンスでとめるべきでは
complaint	問い合わせもしてみましたが・・・早急に対応してほしいです
comment	トイレと別な事がやっぱりいいです
comment	パンご飯等おかず含め種類が豊富で選ぶのに困り、結果食べすぎてしまうという
comment	食べるのもショッピングも困りませんでした
comment	Twitterにはシェア出来ます
bug	ポップアップから開くと文字が入力できないのが、もう2年くらい直ってない
complaint	ポップアップから開くと文字が入力できないのが、もう2年くらい直ってない
complaint	部屋のトイレの水槽などの蓋の上面が傾いていて、ポーチなどを置けない
comment	皆さんに是非泊まっていただきたホテルです
bug	今まで1080pで見れていた動画が721pでしか見れなくなりました
complaint	だから、コンピューターでやってる人（うち）はできなくてめっちゃ悲しいですぅ〜
comment	ユニットバスは玄関から別の扉です
comment	スマホの充電 ケーブルは嬉しかった
comment	施設は世界チェーンの強みで安定感があるので、いつでも安心して泊まれます
comment	受付の方が親切でした
comment	今回初めて利用しました
request	単純にステメの更新しましたって言うのを鬱陶しいとか、それをほかの人に知らせたくないって言う人もいると思うので設定でそこは選択できるようにしてください
comment	部屋が広い
complaint	新年三泊しましたが、おせちを食べられて嬉しかったけど、朝食は毎日同じでした
complaint	改善してほしいです 長文失礼しました
complaint	また、朝食時、食器を載せるトレーがなくなっていても、誰も補充しないでそのままにしていた
comment	お抹茶をたてて飲めるのも楽しめて良かった
comment	フロントスタッフの方の対応が素晴らしかったです
comment	新しく清潔
complaint	口コミに「空気洗浄機」について他のお客様からご指摘がありましたように、今回も水を補給しようとしてタンクを開けたところ埃まみれでしたので使いませんでした
comment	とにかくスタッフの方々が丁寧で親切
comment	ホテル内も清潔できれい
complaint	リネン室が隣にあったのか、音が気になった
comment	部屋の飲み物が無料
bug	消しても消しても、同じアカウントの広告が延々と出てくる
comment	駅近い
undetermined	種類、本数情報まで掲載されていたところ
comment	今表示されている分以前にも投稿してるのに
complaint	全くタイムリーでないから設定しているのが無駄
comment	部屋の広さはクチコミ通り狭いです
comment	また利用したいです
complaint	外国の方への愛想はあったが、子どもへの配慮が特に無い
comment	最高です
